jugador,cfn_id,personaje,pais,mr,continente
DIONISIO,3316428071,Zangief,Brasil,1840,4
FGC_KEYZ,2169725393,Cammy,Brasil,1834,4
Brayan_Job,1488870243,Zangief,Brasil,1828,4
Derek,4153419047,Rashid,Chile,1825,4
Shin Akuma,2026022314,Akuma,Chile,1809,4
Mimam,2601439854,Dhalsim,Brasil,1807,4
ZSF | ZydaniFGC,1363370579,A.K.I.,Brasil,1790,4
COROTE-666,1761587777,Blanka,Brasil,1782,4
Cometa Halley,3987753314,M. Bison,Chile,1763,4
RonaldinhoBR,1589295724,Blanka,Brasil,1761,4
4th Best Lily,3823510405,Lily,Perú,1760,4
Limestone09,1685570435,Ken,Colombia,1758,4
TonexBR,4207888929,M. Bison,Brasil,1750,4
moog city,1147313006,Dhalsim,Brasil,1746,4
Kyuki-PC,3631316984,M. Bison,Brasil,1746,4
TTVAnunnaki8224,2743399039,Guile,Perú,1746,4
HorusPaulin,2732379476,Ed,Brasil,1744,4
Dragon_Legend,3710516941,M. Bison,Brasil,1737,4
Salvatore_pc,1154684827,Cammy,Venezuela,1734,4
DORIVAL,1241686615,Dee Jay,Brasil,1731,4
CroixFGC,2729808895,Zangief,Chile,1730,4
Not_Renan,3311873515,Chun-Li,Brasil,1726,4
Juego_sin_DR,1022545337,Dee Jay,Perú,1724,4
Augbir,2895392432,E. Honda,Brasil,1720,4
thiaguinhor9,3702865818,Cammy,Brasil,1719,4
Lukz V3.0,1109062522,Jamie,Brasil,1713,4
Dookie-PC,3277074647,Rashid,Argentina,1711,4
2XKeoma,2796369481,Akuma,Brasil,1709,4
PHT | GHOST,1211421571,Luke,Brasil,1709,4
theforce90,1346704274,Ken,Brasil,1708,4
Goku Black,3526445220,Dhalsim,Brasil,1707,4
2G JUNINHO-RAS,2622990354,Cammy,Brasil,1706,4
pedepranerfar,4062390282,Cammy,Brasil,1705,4
SeñorChoripan,2564020042,Chun-Li,Chile,1705,4
Dragon_Legend,3710516941,Rashid,Brasil,1704,4
Astuty,2219527309,Ken,Brasil,1704,4
Maroto,1997833069,Juri,Brasil,1702,4
Vega Pirovano,2970005688,Zangief,Paraguay,1700,4
LendiaViva,1675853930,Jamie,Brasil,1690,4
Madbuda,3400027851,Ken,Chile,1690,4
Rina Alho-Poró,4125616529,M. Bison,Brasil,1687,4
SFT GuillerBR,3123159186,Guile,Brasil,1686,4
GenyarikadoX,1217840637,A.K.I.,Argentina,1686,4
DexVaas,2538156036,Akuma,Brasil,1685,4
SnakeJrPC,3029428360,Ken,Brasil,1684,4
tuliomamute,3593935598,Marisa,Brasil,1679,4
Jho-GoForBroke,3201375376,Rashid,Brasil,1679,4
Daisaku,1997726085,Chun-Li,Chile,1678,4
DX_ReguxTM,4129657650,Guile,Perú,1676,4
ForeverCarlone,3331254876,Zangief,Venezuela,1671,4
Atma_,3516438373,Luke,Chile,1671,4
P_Santosan,1825586062,Ryu,Brasil,1671,4
AksVitor,2478519409,Rashid,Brasil,1669,4
Dookie-PC,3277074647,M. Bison,Argentina,1666,4
CapitanMDLuffy,2555043147,M. Bison,Argentina,1666,4
PLSX-PC,2152495644,Jamie,Brasil,1666,4
PendragonBR,1693847953,Rashid,Brasil,1665,4
Bens,4093633928,Ed,Chile,1662,4
ElCh0z,2857414843,A.K.I.,Chile,1662,4
Papipro,3353813962,JP,Perú,1661,4
alissonmetroid,4102774594,Zangief,Brasil,1661,4
Pitekos,2257651269,Rashid,Brasil,1660,4
Figs,2652042490,Kimberly,Brasil,1658,4
DarkZomb1e,3008334543,M. Bison,Brasil,1657,4
Derek,4153419047,Ed,Chile,1657,4
Choken,1161967516,Akuma,Chile,1654,4
BLK | Craime,1009159858,Ryu,Chile,1654,4
Nbkm,3073884138,Ed,Chile,1653,4
WFALCON3D,3474633321,JP,Perú,1652,4
Vzla_salazar,1518771436,Zangief,Venezuela,1652,4
willz,2254838501,M. Bison,Brasil,1652,4
Darlan,1228906084,Akuma,Perú,1652,4
ReyRaFa,2375262683,Blanka,Perú,1650,4
Zangado,2715193003,Dee Jay,Brasil,1650,4
TTV/NotleLinc,3839145420,Ryu,Brasil,1643,4
Gustta,2051151865,Ken,Brasil,1642,4
Zé da Manga,2057736122,JP,Brasil,1641,4
ytsiug,3132365326,Ed,Brasil,1641,4
Greensleeves,3380877250,A.K.I.,Brasil,1641,4
Zane,1777564348,Dee Jay,Chile,1641,4
Calango Jedi,1896993406,Marisa,Brasil,1640,4
Ed-Perpetuo,3285130477,Kimberly,Brasil,1639,4
TTV/HickzX,3944248778,Kimberly,Brasil,1639,4
Cell-PC,1377315476,Ken,Brasil,1639,4
negocelest,1474435471,Lily,Brasil,1637,4
DrStreetsPHD,1844743197,Zangief,Brasil,1636,4
DR-Wendson PC,1365424087,JP,Brasil,1635,4
Vajainas,2353032170,Kimberly,Brasil,1634,4
Ale Maaseik,2322553817,A.K.I.,Brasil,1634,4
Shaka,3518861911,Dhalsim,Argentina,1633,4
HenryPretoX2,3882285880,A.K.I.,Brasil,1633,4
tilti1,1501085057,E. Honda,Brasil,1632,4
YOKIMAN 1980,1348010404,Dee Jay,Brasil,1632,4
PX ZAITO240,2370403352,Kimberly,Colombia,1631,4
Evoll,2918937831,Juri,Brasil,1631,4
Ludo,3383392215,Akuma,Brasil,1629,4
arrancamelon,3250634892,Blanka,Brasil,1629,4
BLK | Mega,2818203604,Ryu,Chile,1628,4
KARATEMAN_69,4208016037,Ed,Brasil,1627,4
BUBsneo,4022337860,M. Bison,Brasil,1626,4
VeNoM,2378180637,Ed,Brasil,1625,4
Nfms morozin,1482643866,M. Bison,Chile,1624,4
Trickster26_,1372851453,Akuma,Ecuador,1624,4
Nfms morozin,1482643866,Chun-Li,Chile,1623,4
Loro,3943059783,Blanka,Brasil,1623,4
JAH_LEXE,2986074881,Rashid,Brasil,1623,4
HiR0,3431504915,Cammy,Brasil,1622,4
Jinn Bushin,2197114845,Kimberly,Brasil,1622,4
RSAPcGamer,1987457208,Kimberly,Brasil,1622,4
Zenonn86,1510381058,Akuma,Brasil,1622,4
VinnyPunx',1915890660,Akuma,Brasil,1621,4
felipe,1149463106,Cammy,Brasil,1620,4
MCRJ1982,4032495906,Akuma,Brasil,1620,4
ReD.Dr@GoN,2292894796,Akuma,Brasil,1620,4
MiniBomba,2241720179,M. Bison,Brasil,1619,4
E1 | NotPedro,2616132292,Akuma,Brasil,1619,4
Jukilis,3735851943,Jamie,Brasil,1619,4
Guilherme Lemez,3814323799,Guile,Brasil,1619,4
Kairi_Taz,1585655188,Rashid,Chile,1619,4
tundi,3670273569,Cammy,Brasil,1617,4
